ccd_code,name_identical,type_identical,atom_identical,bond_identical,descriptor_identical,overall_identical,wwpdb_modified_date,ccp4_modified_date
000,Y,Y,Y,Y,Y,Y,2025-08-29,2022-04-05
010,Y,Y,Y,Y,Y,Y,2024-09-27,2022-04-05
020,Y,Y,Y,Y,Y,Y,2011-06-04,2022-04-05
030,Y,Y,Y,Y,Y,Y,2012-01-13,2022-04-05
040,Y,Y,N,N,Y,N,2012-11-02,2022-04-05
060,Y,N,N,N,Y,N,2024-09-27,2024-01-17
070,Y,Y,N,N,Y,N,2012-08-10,2022-04-05
090,Y,Y,Y,N,Y,N,2020-05-26,2022-04-05
0A0,Y,N,N,N,Y,N,2024-09-27,2024-01-17
0C0,Y,Y,N,N,Y,N,2012-01-20,2022-04-05
0E0,Y,Y,Y,N,Y,N,2015-08-07,2022-04-05
0F0,Y,Y,Y,Y,Y,Y,2024-09-27,2022-04-05
0G0,Y,Y,Y,N,Y,N,2012-11-16,2022-04-05
0H0,Y,N,N,N,N,N,2021-10-08,2022-04-05
0J0,Y,Y,Y,N,Y,N,2012-03-16,2022-04-05
0K0,Y,Y,Y,Y,Y,Y,2012-04-20,2022-04-05
0L0,Y,Y,N,N,Y,N,2012-11-02,2022-04-05
0N0,Y,Y,Y,N,N,N,2013-02-08,2022-04-05
0R0,Y,Y,Y,N,Y,N,2020-06-17,2025-10-08
0S0,Y,Y,Y,N,Y,N,2012-08-17,2022-04-05
0T0,Y,Y,Y,N,Y,N,2012-10-05,2022-04-05
0U0,Y,Y,Y,Y,Y,Y,2013-04-05,2022-04-05
0V0,Y,Y,Y,N,Y,N,2014-10-17,2025-10-08
0W0,Y,Y,N,N,Y,N,2024-09-27,2022-04-05
0X0,Y,Y,Y,N,Y,N,2017-06-30,2022-04-05
100,Y,Y,Y,Y,Y,Y,2012-01-05,2022-04-05
110,Y,Y,N,N,Y,N,2024-09-27,2022-04-05
120,Y,Y,Y,N,Y,N,2011-06-04,2022-04-05
130,Y,Y,Y,N,Y,N,2011-06-04,2022-04-05
140,Y,Y,N,N,Y,N,2021-03-01,2022-04-05
150,Y,Y,Y,Y,Y,Y,2011-06-04,2022-04-05
160,Y,Y,N,N,Y,N,2024-09-27,2022-04-05
170,Y,Y,Y,N,Y,N,2011-06-04,2022-04-05
180,Y,Y,N,N,Y,N,2021-03-01,2022-04-05
190,Y,Y,Y,Y,N,N,2011-06-04,2022-04-05
1A0,Y,Y,Y,N,Y,N,2013-02-08,2022-04-05
1B0,Y,Y,Y,N,Y,N,2011-06-04,2022-04-05
1C0,Y,Y,Y,Y,Y,Y,2013-05-03,2022-04-05
1D0,Y,Y,N,N,Y,N,2013-12-20,2022-04-05
1E0,Y,Y,Y,N,Y,N,2014-03-28,2022-04-05
1F0,Y,Y,Y,N,Y,N,2020-05-26,2022-04-05
1G0,Y,Y,Y,N,Y,N,2013-01-25,2022-04-05
1I0,Y,Y,Y,N,Y,N,2021-11-05,2022-04-05
1J0,Y,Y,Y,N,N,N,2021-10-29,2022-04-05
1K0,Y,Y,Y,N,Y,N,2013-11-22,2022-04-05
1L0,Y,Y,Y,N,N,N,2021-08-13,2022-04-05
1M0,Y,Y,Y,N,Y,N,2013-05-17,2022-04-05
1N0,Y,Y,Y,Y,Y,Y,2024-09-27,2022-04-05
1O0,Y,Y,Y,N,Y,N,2013-06-28,2022-04-05
1P0,Y,Y,Y,Y,Y,Y,2014-10-17,2022-04-05
1Q0,Y,Y,N,N,Y,N,2013-07-12,2022-04-05
1R0,Y,Y,Y,N,Y,N,2013-10-04,2025-10-08
1S0,Y,Y,N,N,Y,N,2014-07-11,2022-04-05
1U0,Y,Y,N,N,Y,N,2013-08-16,2022-04-05
200,Y,N,N,N,Y,N,2024-09-27,2022-04-05
210,Y,Y,N,N,Y,N,2020-06-17,2022-04-05
220,Y,Y,Y,Y,Y,Y,2024-09-27,2022-04-05
230,Y,Y,Y,N,Y,N,2021-03-01,2022-04-05
240,Y,Y,N,N,Y,N,2021-03-01,2022-04-05
250,Y,Y,Y,Y,Y,Y,2011-06-04,2022-04-05
260,Y,Y,Y,Y,Y,Y,2011-06-04,2022-04-05
270,Y,Y,Y,Y,Y,Y,2020-06-17,2022-04-05
280,Y,Y,Y,Y,Y,Y,2011-06-04,2022-04-05
290,Y,Y,Y,N,Y,N,2011-06-04,2022-04-05
2A0,Y,N,N,N,Y,N,2012-01-13,2023-03-07
2B0,Y,Y,N,N,Y,N,2014-02-28,2022-04-05
2C0,Y,Y,N,N,Y,N,2020-06-17,2022-04-05
2D0,Y,Y,Y,Y,Y,Y,2014-05-09,2022-04-05
2F0,Y,Y,Y,Y,Y,Y,2021-03-01,2022-04-05
2G0,Y,Y,N,N,N,N,2011-06-04,2022-04-05
2H0,Y,N,Y,N,Y,N,2021-03-01,2022-04-05
2J0,N,Y,N,N,N,N,2014-09-19,2024-11-18
2K0,Y,Y,Y,N,Y,N,2014-09-05,2022-04-05
2L0,Y,N,Y,Y,Y,N,2024-09-27,2022-04-05
2M0,Y,Y,Y,Y,Y,Y,2014-02-07,2022-04-05
2N0,Y,Y,Y,N,Y,N,2014-09-05,2022-04-05
2O0,Y,Y,Y,N,Y,N,2013-12-20,2022-04-05
2P0,Y,N,N,N,Y,N,2021-03-01,2022-04-05
2Q0,Y,Y,Y,N,N,N,2020-02-12,2022-04-05
2S0,Y,Y,Y,Y,Y,Y,2020-06-17,2022-04-05
2T0,Y,Y,N,N,Y,N,2011-06-04,2022-04-05
2U0,Y,Y,N,N,N,N,2014-03-28,2022-04-05
300,Y,Y,N,N,Y,N,2024-09-27,2022-04-05
310,Y,Y,N,N,Y,N,2011-06-04,2022-04-05
320,Y,Y,Y,Y,Y,Y,2011-06-04,2022-04-05
330,Y,Y,Y,N,Y,N,2011-06-04,2022-04-05
340,Y,Y,Y,Y,Y,Y,2011-06-04,2022-04-05
370,Y,Y,Y,Y,Y,Y,2014-03-28,2022-04-05
380,Y,Y,Y,Y,Y,Y,2011-06-04,2022-04-05
390,Y,Y,Y,N,Y,N,2014-07-18,2022-04-05
3A0,Y,Y,N,N,Y,N,2024-09-27,2024-01-17
3B0,Y,Y,Y,N,Y,N,2015-05-01,2022-04-05
3C0,Y,Y,Y,N,N,N,2020-06-17,2022-04-05
3D0,Y,Y,N,N,N,N,2015-05-08,2022-04-05
3E0,Y,Y,Y,Y,Y,Y,2015-07-24,2022-04-05
3F0,Y,Y,N,N,Y,N,2021-03-01,2022-04-05
3G0,Y,Y,N,N,N,N,2020-06-17,2024-11-18
3H0,Y,Y,Y,Y,Y,Y,2015-03-27,2022-04-05
3I0,Y,Y,Y,N,Y,N,2021-11-26,2022-04-05
3J0,Y,Y,N,N,Y,N,2014-11-14,2022-04-05
3K0,Y,Y,N,N,Y,N,2015-09-18,2022-04-05
3L0,Y,Y,Y,N,Y,N,2021-03-13,2022-04-05
3M0,Y,Y,N,N,Y,N,2020-06-17,2022-04-05
3N0,Y,Y,Y,N,Y,N,2015-09-04,2022-04-05
3O0,Y,Y,Y,N,Y,N,2011-06-04,2022-04-05
3P0,Y,Y,Y,N,N,N,2014-12-19,2022-04-05
3Q0,Y,Y,Y,N,Y,N,2011-06-04,2022-04-05
3R0,Y,Y,Y,N,Y,N,2014-11-21,2022-04-05
3S0,Y,Y,N,N,Y,N,2014-11-14,2022-04-05
3T0,Y,Y,Y,N,Y,N,2012-05-18,2022-04-05
400,Y,Y,Y,N,Y,N,2021-03-01,2022-04-05
410,Y,Y,N,N,Y,N,2011-06-04,2022-04-05
420,Y,Y,Y,N,Y,N,2024-09-27,2022-04-05
430,Y,Y,Y,N,Y,N,2011-06-04,2022-04-05
440,Y,Y,Y,N,Y,N,2011-06-04,2022-04-05
460,Y,Y,Y,Y,Y,Y,2021-03-01,2022-04-05
470,Y,Y,Y,N,Y,N,2011-06-04,2022-04-05
480,Y,Y,Y,Y,Y,Y,2015-04-03,2022-04-05
490,Y,Y,Y,N,Y,N,2015-06-12,2022-04-05
4A0,Y,Y,Y,N,Y,N,2015-05-01,2022-04-05
4B0,Y,Y,Y,Y,Y,Y,2011-06-04,2022-04-05
4C0,Y,Y,N,N,Y,N,2021-03-01,2022-04-05
4D0,Y,Y,Y,N,Y,N,2015-11-13,2022-04-05
4E0,Y,Y,Y,Y,N,N,2024-09-27,2022-04-05
4F0,Y,Y,Y,Y,Y,Y,2015-08-21,2022-04-05
4G0,Y,Y,Y,N,Y,N,2016-03-11,2022-04-05
4H0,Y,N,N,N,Y,N,2024-09-27,2022-04-05
4J0,Y,Y,Y,Y,N,N,2015-09-04,2022-04-05
4K0,Y,Y,Y,N,Y,N,2014-09-05,2025-10-08
4L0,Y,N,N,N,Y,N,2024-09-27,2024-01-17
4M0,Y,Y,N,N,Y,N,2021-03-01,2022-04-05
4O0,Y,Y,N,N,Y,N,2015-10-09,2022-04-05
4P0,Y,Y,Y,Y,Y,Y,2015-05-08,2022-04-05
4Q0,Y,Y,Y,N,Y,N,2015-08-07,2022-04-05
4R0,Y,Y,Y,Y,Y,Y,2016-04-29,2022-04-05
4S0,Y,Y,Y,Y,N,N,2014-11-07,2022-04-05
4T0,Y,Y,Y,N,N,N,2015-07-17,2022-04-05
510,Y,N,Y,Y,N,N,2020-07-17,2022-04-05
520,Y,Y,Y,Y,Y,Y,2015-10-30,2022-04-05
530,Y,Y,Y,Y,Y,Y,2011-06-04,2022-04-05
540,Y,Y,Y,Y,Y,Y,2011-10-21,2022-04-05
550,Y,Y,Y,Y,Y,Y,2011-06-04,2022-04-05
570,Y,Y,N,N,Y,N,2020-09-25,2022-04-05
580,Y,Y,Y,N,Y,N,2011-06-04,2022-04-05
590,Y,Y,Y,Y,N,N,2015-08-28,2022-04-05
5A0,Y,Y,Y,Y,Y,Y,2021-03-01,2022-04-05
5B0,Y,Y,N,N,Y,N,2015-03-27,2022-04-05
5C0,Y,Y,Y,Y,Y,Y,2016-09-09,2022-04-05
5D0,Y,Y,Y,N,Y,N,2016-01-15,2022-04-05
5E0,Y,Y,N,N,Y,N,2016-09-09,2023-03-07
5G0,Y,Y,Y,N,Y,N,2015-08-28,2022-04-05
5H0,Y,Y,Y,Y,Y,Y,2021-10-29,2022-04-05
5J0,Y,Y,Y,N,Y,N,2016-04-29,2022-04-05
5K0,Y,Y,Y,N,Y,N,2016-04-29,2022-04-05
5L0,Y,Y,Y,Y,Y,Y,2015-10-23,2022-04-05
5M0,Y,Y,N,N,Y,N,2021-03-01,2022-04-05
5N0,Y,Y,N,N,Y,N,2022-01-07,2022-04-05
5O0,Y,Y,N,N,Y,N,2016-10-21,2022-04-05
5Q0,Y,Y,Y,Y,Y,Y,2016-06-03,2022-04-05
5R0,Y,Y,N,N,N,N,2024-09-27,2022-04-05
5T0,Y,Y,Y,N,Y,N,2016-01-29,2022-04-05
5U0,Y,Y,N,N,N,N,2020-04-03,2022-04-05
600,Y,Y,N,N,N,N,2011-06-04,2022-04-05
610,Y,Y,Y,Y,Y,Y,2011-06-04,2022-04-05
620,Y,Y,Y,Y,Y,Y,2015-08-07,2022-04-05
630,Y,Y,Y,Y,Y,Y,2024-09-27,2022-04-05
640,Y,Y,N,N,Y,N,2014-10-03,2022-04-05
650,Y,Y,Y,Y,Y,Y,2016-04-22,2022-04-05
660,Y,Y,N,N,N,N,2021-03-01,2022-04-05
670,Y,Y,N,N,N,N,2011-10-07,2024-11-18
680,Y,Y,Y,N,Y,N,2011-06-04,2022-04-05
690,Y,Y,Y,Y,N,N,2013-05-03,2022-04-05
6A0,Y,N,N,N,Y,N,2024-09-27,2024-01-17
6B0,Y,Y,Y,N,Y,N,2017-03-03,2022-04-05
6C0,Y,Y,Y,N,Y,N,2016-04-29,2022-04-05
6D0,Y,Y,N,N,Y,N,2017-03-10,2023-03-07
6E0,Y,Y,N,N,Y,N,2016-07-01,2022-04-05
6F0,Y,Y,N,N,Y,N,2021-03-01,2022-04-05
6G0,Y,Y,N,N,N,N,2017-05-05,2022-04-05
6J0,Y,Y,Y,Y,Y,Y,2020-06-17,2022-04-05
6K0,Y,Y,Y,N,Y,N,2017-02-24,2022-04-05
6L0,Y,Y,Y,Y,Y,Y,2016-04-29,2022-04-05
6M0,Y,Y,N,N,N,N,2014-05-29,2024-11-18
6N0,Y,Y,Y,N,Y,N,2015-05-08,2022-04-05
6O0,Y,Y,N,N,N,N,2016-07-08,2024-11-18
6P0,Y,Y,Y,Y,Y,Y,2016-09-02,2022-04-05
6Q0,Y,Y,Y,Y,Y,Y,2016-12-02,2022-04-05
6R0,Y,Y,Y,Y,Y,Y,2017-12-01,2022-04-05
6S0,Y,Y,Y,N,Y,N,2016-10-21,2022-04-05
6T0,Y,Y,Y,Y,Y,Y,2016-07-22,2022-04-05
6U0,Y,Y,N,N,Y,N,2016-07-15,2023-03-07
700,Y,Y,N,N,Y,N,2020-01-25,2022-04-05
710,Y,Y,Y,N,Y,N,2011-06-04,2022-04-05
720,Y,Y,N,N,Y,N,2011-06-04,2022-04-05
730,Y,Y,N,N,N,N,2011-06-04,2022-04-05
740,Y,Y,Y,N,Y,N,2011-06-04,2022-04-05
750,Y,Y,Y,N,Y,N,2024-09-27,2022-04-05
760,Y,Y,Y,N,Y,N,2021-03-01,2022-04-05
770,Y,Y,Y,N,Y,N,2011-06-04,2022-04-05
780,Y,Y,Y,N,Y,N,2024-09-27,2022-04-05
790,Y,Y,N,N,Y,N,2020-06-17,2022-04-05
7A0,N,Y,N,N,N,N,2017-10-20,2024-01-17
7B0,Y,Y,N,N,Y,N,2016-10-21,2022-04-05
7C0,Y,Y,N,N,Y,N,2017-01-06,2022-04-05
7D0,Y,Y,Y,Y,Y,Y,2016-11-04,2022-04-05
7E0,Y,Y,Y,Y,Y,Y,2020-06-17,2022-04-05
7G0,Y,Y,Y,N,Y,N,2017-01-13,2022-04-05
7H0,Y,Y,Y,N,Y,N,2016-11-25,2022-04-05
7I0,Y,Y,N,N,Y,N,2021-09-03,2022-04-05
