ccd_code,missing_from_set1,missing_from_set2,missing_from_both
045,N,Y,N
04Y,N,Y,N
05A,N,Y,N
05D,N,Y,N
05E,N,Y,N
05G,N,Y,N
05H,N,Y,N
05K,N,Y,N
05Q,N,Y,N
05Y,N,Y,N
05Z,N,Y,N
06A,N,Y,N
06D,N,Y,N
06G,N,Y,N
06K,N,Y,N
06L,N,Y,N
06O,N,Y,N
06Q,N,Y,N
08N,N,Y,N
08O,N,Y,N
08V,N,Y,N
09W,N,Y,N
09Y,N,Y,N
0A3,N,Y,N
0A5,N,Y,N
0AA,N,Y,N
0AC,N,Y,N
0AL,N,Y,N
0AM,N,Y,N
0AN,N,Y,N
0AT,N,Y,N
0AU,N,Y,N
0AV,N,Y,N
0AW,N,Y,N
0AX,N,Y,N
0AZ,N,Y,N
0B0,N,Y,N
0B7,N,Y,N
0B8,N,Y,N
0B9,N,Y,N
0BF,N,Y,N
0BG,N,Y,N
0BJ,N,Y,N
0BL,N,Y,N
0BO,N,Y,N
0BS,N,Y,N
0CC,N,Y,N
0ER,N,Y,N
0EZ,N,Y,N
0GI,N,Y,N
0H1,N,Y,N
0HP,N,Y,N
0I0,N,Y,N
0I1,N,Y,N
0I2,N,Y,N
0I3,N,Y,N
0I6,N,Y,N
0I7,N,Y,N
0IC,N,Y,N
0IE,N,Y,N
0IF,N,Y,N
0IG,N,Y,N
0IH,N,Y,N
0IL,N,Y,N
0IP,N,Y,N
0JS,N,Y,N
0KI,N,Y,N
0O0,N,Y,N
0P0,N,Y,N
0Q5,N,Y,N
0QQ,N,Y,N
0SN,N,Y,N
0SP,N,Y,N
0TL,N,Y,N
0TS,N,Y,N
0UB,N,Y,N
0UH,N,Y,N
0UR,N,Y,N
0V1,N,Y,N
0V9,N,Y,N
0VI,N,Y,N
0VL,N,Y,N
0WQ,N,Y,N
0XO,N,Y,N
0XP,N,Y,N
0XQ,N,Y,N
0XR,N,Y,N
0XS,N,Y,N
0XT,N,Y,N
0XU,N,Y,N
0XV,N,Y,N
0XW,N,Y,N
0XX,N,Y,N
0XY,N,Y,N
0XZ,N,Y,N
0Y0,N,Y,N
0Y1,N,Y,N
0Y2,N,Y,N
0Y3,N,Y,N
0Y4,N,Y,N
0Y5,N,Y,N
0Y7,N,Y,N
0Y8,N,Y,N
0Y9,N,Y,N
0YA,N,Y,N
0YB,N,Y,N
0YC,N,Y,N
0YD,N,Y,N
0YE,N,Y,N
0YF,N,Y,N
0YG,N,Y,N
0YH,N,Y,N
0YI,N,Y,N
0YJ,N,Y,N
0YK,N,Y,N
0YL,N,Y,N
0YN,N,Y,N
0YO,N,Y,N
0YP,N,Y,N
0YQ,N,Y,N
0YR,N,Y,N
0YS,N,Y,N
0YT,N,Y,N
0YU,N,Y,N
0YV,N,Y,N
0YW,N,Y,N
0YX,N,Y,N
0YY,N,Y,N
0YZ,N,Y,N
0Z0,N,Y,N
0Z1,N,Y,N
0Z2,N,Y,N
0Z3,N,Y,N
0Z4,N,Y,N
0Z6,N,Y,N
0Z7,N,Y,N
0Z9,N,Y,N
0ZA,N,Y,N
0ZB,N,Y,N
0ZC,N,Y,N
0ZD,N,Y,N
0ZE,N,Y,N
0ZG,N,Y,N
0ZI,N,Y,N
0ZJ,N,Y,N
0ZL,N,Y,N
0ZN,N,Y,N
0ZO,N,Y,N
0ZP,N,Y,N
0ZQ,N,Y,N
0ZR,N,Y,N
0ZS,N,Y,N
0ZT,N,Y,N
0ZW,N,Y,N
0ZX,N,Y,N
0ZY,N,Y,N
0ZZ,N,Y,N
102,N,Y,N
10R,N,Y,N
10S,N,Y,N
119,N,Y,N
11I,N,Y,N
13H,N,Y,N
148,N,Y,N
191,N,Y,N
1CU,N,Y,N
1FT,N,Y,N
1HI,N,Y,N
1I2,N,Y,N
1I6,N,Y,N
1I7,N,Y,N
1IB,N,Y,N
1IE,N,Y,N
1IF,N,Y,N
1II,N,Y,N
1IJ,N,Y,N
1IM,N,Y,N
1IV,N,Y,N
1IW,N,Y,N
1IY,N,Y,N
1IZ,N,Y,N
1JA,N,Y,N
1JI,N,Y,N
1K1,N,Y,N
1K2,N,Y,N
1KF,N,Y,N
1KH,N,Y,N
1KI,N,Y,N
1KW,N,Y,N
1L3,N,Y,N
1LK,N,Y,N
1LL,N,Y,N
1NA,N,Y,N
1NI,N,Y,N
1O4,N,Y,N
1OF,N,Y,N
1PY,N,Y,N
1QD,N,Y,N
1RJ,N,Y,N
1SK,N,Y,N
1T0,N,Y,N
1T1,N,Y,N
1T2,N,Y,N
1TF,N,Y,N
1TI,N,Y,N
1TK,N,Y,N
1U6,N,Y,N
1U7,N,Y,N
1U8,N,Y,N
